y2_statefips,y2_countyfips,y1_statefips,y1_countyfips,y1_state,y1_countyname,n1,n2,agi
01,000,96,000,AL,Total Migration-US and Foreign,130855,273891,7058182
01,000,97,000,AL,Total Migration-US,130235,272345,7022706
01,000,97,001,AL,Total Migration-Same State,71530,148378,3510398
01,000,97,003,AL,Total Migration-Different State,58705,123967,3512308
01,000,98,000,AL,Total Migration-Foreign,620,1546,35476
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,2400,5702,125069
01,001,97,000,AL,Autauga County Total Migration-US,2366,5573,122696
01,001,97,001,AL,Autauga County Total Migration-Same State,1516,3352,66187
01,001,97,003,AL,Autauga County Total Migration-Different State,850,2221,56510
01,001,98,000,AL,Autauga County Total Migration-Foreign,34,129,2373
01,001,01,001,AL,Autauga County Non-migrants,17484,39711,1106647
01,001,01,051,AL,Elmore County,535,1155,23666
01,001,01,101,AL,Montgomery County,454,1039,19799
01,001,01,021,AL,Chilton County,83,220,3006
01,001,01,047,AL,Dallas County,82,195,2917
01,001,01,073,AL,Jefferson County,53,108,2488
01,001,01,117,AL,Shelby County,43,91,1688
01,001,57,005,FR,Foreign - APO/FPO ZIPs,34,129,2373
01,001,01,081,AL,Lee County,28,54,1261
01,001,48,029,TX,Bexar County,23,72,1713
01,001,01,125,AL,Tuscaloosa County,22,45,1137
01,001,58,000,SS,Other flows - Same State,216,445,10225
01,001,59,000,DS,Other flows - Different State,827,2149,54797
01,001,59,001,DS,Other flows - Northeast,43,120,3338
01,001,59,003,DS,Other flows - Midwest,117,307,7741
01,001,59,005,DS,Other flows - South,503,1240,32276
01,001,59,007,DS,Other flows - West,164,482,11442
01,001,57,009,FR,Foreign - Other flows,-1,-1,-1
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,8828,17981,594263
01,003,97,000,AL,Baldwin County Total Migration-US,8828,17981,594263
01,003,97,001,AL,Baldwin County Total Migration-Same State,3055,6204,208251
01,003,97,003,AL,Baldwin County Total Migration-Different State,5773,11777,386012
01,003,98,000,AL,Baldwin County Total Migration-Foreign,-1,-1,-1
01,003,01,003,AL,Baldwin County Non-migrants,70147,151156,4885943
01,003,01,097,AL,Mobile County,1339,2696,93772
