y1_statefips,y1_countyfips,y2_statefips,y2_countyfips,y2_state,y2_countyname,n1,n2,agi
01,001,96,000,AL,Autauga County Total Migration-US and Foreign,1758,3960,95832
01,001,97,000,AL,Autauga County Total Migration-US,1730,3876,93433
01,001,97,001,AL,Autauga County Total Migration-Same State,1098,2256,49563
01,001,97,003,AL,Autauga County Total Migration-Different State,632,1620,43870
01,001,98,000,AL,Autauga County Total Migration-Foreign,28,84,2399
01,001,01,001,AL,Autauga County Non-migrants,18240,41115,1206055
01,001,01,051,AL,Elmore County,384,825,17900
01,001,01,101,AL,Montgomery County,313,641,11999
01,001,01,021,AL,Chilton County,67,138,2910
01,001,01,073,AL,Jefferson County,52,92,2421
01,001,01,117,AL,Shelby County,38,77,2900
01,001,01,081,AL,Lee County,29,57,1654
01,001,57,005,FR,Foreign - APO/FPO ZIPs,28,84,2399
01,001,01,047,AL,Dallas County,25,56,823
01,001,01,125,AL,Tuscaloosa County,23,40,1057
01,001,58,000,SS,Other flows - Same State,167,330,7899
01,001,59,000,DS,Other flows - Different State,632,1620,43870
01,001,59,001,DS,Other flows - Northeast,23,65,1389
01,001,59,003,DS,Other flows - Midwest,77,195,5662
01,001,59,005,DS,Other flows - South,423,1099,29889
01,001,59,007,DS,Other flows - West,109,261,6930
01,001,57,009,FR,Foreign - Other flows,-1,-1,-1
01,003,96,000,AL,Baldwin County Total Migration-US and Foreign,4345,8083,263236
01,003,97,000,AL,Baldwin County Total Migration-US,4345,8083,263236
01,003,97,001,AL,Baldwin County Total Migration-Same State,1441,2685,73976
01,003,97,003,AL,Baldwin County Total Migration-Different State,2904,5398,189260
01,003,01,003,AL,Baldwin County Non-migrants,76068,162619,5895163
01,003,01,097,AL,Mobile County,698,1298,37184
01,003,12,033,FL,Escambia County,350,600,18168
01,003,01,073,AL,Jefferson County,101,168,4971
01,003,01,117,AL,Shelby County,68,128,4411
01,003,01,053,AL,Escambia County,64,134,1860
01,003,12,113,FL,Santa Rosa County,58,119,2749
01,003,01,089,AL,Madison County,48,77,1922
01,003,28,047,MS,Harrison County,43,76,1717
01,003,01,081,AL,Lee County,42,80,2786
01,003,12,091,FL,Okaloosa County,41,79,2757
